CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;
ES0021000003066638WE;2020/05/01 01:00;1;803;0;
ES0021000003066638WE;2020/05/01 02:00;1;1011;0;
ES0021000003066638WE;2020/05/01 03:00;1;488;0;
ES0021000003066638WE;2020/05/01 04:00;1;441;0;
ES0021000003066638WE;2020/05/01 05:00;1;458;0;
ES0021000003066638WE;2020/05/01 06:00;1;484;0;
ES0021000003066638WE;2020/05/01 07:00;1;474;0;
ES0021000003066638WE;2020/05/01 08:00;1;537;0;
ES0021000003066638WE;2020/05/01 09:00;1;523;0;
ES0021000003066638WE;2020/05/01 10:00;1;555;0;
ES0021000003066638WE;2020/05/01 11:00;1;849;0;
ES0021000003066638WE;2020/05/01 12:00;1;758;0;
ES0021000003066638WE;2020/05/01 13:00;1;1721;0;
ES0021000003066638WE;2020/05/01 14:00;1;1128;0;
ES0021000003066638WE;2020/05/01 15:00;1;1237;0;
ES0021000003066638WE;2020/05/01 16:00;1;630;0;
ES0021000003066638WE;2020/05/01 17:00;1;690;0;
ES0021000003066638WE;2020/05/01 18:00;1;551;0;
ES0021000003066638WE;2020/05/01 19:00;1;493;0;
ES0021000003066638WE;2020/05/01 20:00;1;642;0;
ES0021000003066638WE;2020/05/01 21:00;1;905;0;
ES0021000003066638WE;2020/05/01 22:00;1;806;0;
ES0021000003066638WE;2020/05/01 23:00;1;782;0;
ES0021000003066638WE;2020/05/02 00:00;1;1433;0;
ES0021000003066638WE;2020/05/02 01:00;1;587;0;
ES0021000003066638WE;2020/05/02 02:00;1;970;0;
ES0021000003066638WE;2020/05/02 03:00;1;478;0;
ES0021000003066638WE;2020/05/02 04:00;1;367;0;
ES0021000003066638WE;2020/05/02 05:00;1;531;0;
ES0021000003066638WE;2020/05/02 06:00;1;597;0;
ES0021000003066638WE;2020/05/02 07:00;1;612;0;
ES0021000003066638WE;2020/05/02 08:00;1;535;0;
ES0021000003066638WE;2020/05/02 09:00;1;513;0;
ES0021000003066638WE;2020/05/02 10:00;1;621;0;
ES0021000003066638WE;2020/05/02 11:00;1;1190;0;
ES0021000003066638WE;2020/05/02 12:00;1;699;0;
ES0021000003066638WE;2020/05/02 13:00;1;977;0;
ES0021000003066638WE;2020/05/02 14:00;1;1688;0;
ES0021000003066638WE;2020/05/02 15:00;1;831;0;
ES0021000003066638WE;2020/05/02 16:00;1;661;0;
ES0021000003066638WE;2020/05/02 17:00;1;797;0;
ES0021000003066638WE;2020/05/02 18:00;1;675;0;
ES0021000003066638WE;2020/05/02 19:00;1;628;0;
ES0021000003066638WE;2020/05/02 20:00;1;678;0;
ES0021000003066638WE;2020/05/02 21:00;1;796;0;
ES0021000003066638WE;2020/05/02 22:00;1;1010;0;
ES0021000003066638WE;2020/05/02 23:00;1;1103;0;
ES0021000003066638WE;2020/05/03 00:00;1;941;0;
ES0021000003066638WE;2020/05/03 01:00;1;694;0;
ES0021000003066638WE;2020/05/03 02:00;1;550;0;
ES0021000003066638WE;2020/05/03 03:00;1;424;0;
ES0021000003066638WE;2020/05/03 04:00;1;480;0;
ES0021000003066638WE;2020/05/03 05:00;1;488;0;
ES0021000003066638WE;2020/05/03 06:00;1;405;0;
ES0021000003066638WE;2020/05/03 07:00;1;463;0;
ES0021000003066638WE;2020/05/03 08:00;1;409;0;
ES0021000003066638WE;2020/05/03 09:00;1;473;0;
ES0021000003066638WE;2020/05/03 10:00;1;698;0;
ES0021000003066638WE;2020/05/03 11:00;1;632;0;
ES0021000003066638WE;2020/05/03 12:00;1;420;0;
ES0021000003066638WE;2020/05/03 13:00;1;2469;0;
ES0021000003066638WE;2020/05/03 14:00;1;1541;0;
ES0021000003066638WE;2020/05/03 15:00;1;555;0;
ES0021000003066638WE;2020/05/03 16:00;1;1414;0;
ES0021000003066638WE;2020/05/03 17:00;1;799;0;
ES0021000003066638WE;2020/05/03 18:00;1;648;0;
ES0021000003066638WE;2020/05/03 19:00;1;679;0;
ES0021000003066638WE;2020/05/03 20:00;1;881;0;
ES0021000003066638WE;2020/05/03 21:00;1;787;0;
ES0021000003066638WE;2020/05/03 22:00;1;864;0;
ES0021000003066638WE;2020/05/03 23:00;1;1156;0;
ES0021000003066638WE;2020/05/04 00:00;1;843;0;
ES0021000003066638WE;2020/05/04 01:00;1;690;0;
ES0021000003066638WE;2020/05/04 02:00;1;662;0;
ES0021000003066638WE;2020/05/04 03:00;1;628;0;
ES0021000003066638WE;2020/05/04 04:00;1;609;0;
ES0021000003066638WE;2020/05/04 05:00;1;518;0;
ES0021000003066638WE;2020/05/04 06:00;1;410;0;
ES0021000003066638WE;2020/05/04 07:00;1;462;0;
ES0021000003066638WE;2020/05/04 08:00;1;682;0;
ES0021000003066638WE;2020/05/04 09:00;1;414;0;
ES0021000003066638WE;2020/05/04 10:00;1;740;0;
ES0021000003066638WE;2020/05/04 11:00;1;1124;0;
ES0021000003066638WE;2020/05/04 12:00;1;509;0;
ES0021000003066638WE;2020/05/04 13:00;1;1023;0;
ES0021000003066638WE;2020/05/04 14:00;1;1562;0;
ES0021000003066638WE;2020/05/04 15:00;1;529;0;
ES0021000003066638WE;2020/05/04 16:00;1;492;0;
ES0021000003066638WE;2020/05/04 17:00;1;509;0;
ES0021000003066638WE;2020/05/04 18:00;1;497;0;
ES0021000003066638WE;2020/05/04 19:00;1;583;0;
ES0021000003066638WE;2020/05/04 20:00;1;657;0;
ES0021000003066638WE;2020/05/04 21:00;1;1011;0;
ES0021000003066638WE;2020/05/04 22:00;1;1082;0;
ES0021000003066638WE;2020/05/04 23:00;1;1269;0;
ES0021000003066638WE;2020/05/05 00:00;1;951;0;
ES0021000003066638WE;2020/05/05 01:00;1;875;0;
ES0021000003066638WE;2020/05/05 02:00;1;464;0;
ES0021000003066638WE;2020/05/05 03:00;1;434;0;
ES0021000003066638WE;2020/05/05 04:00;1;468;0;
ES0021000003066638WE;2020/05/05 05:00;1;418;0;
ES0021000003066638WE;2020/05/05 06:00;1;455;0;
ES0021000003066638WE;2020/05/05 07:00;1;587;0;
ES0021000003066638WE;2020/05/05 08:00;1;519;0;
ES0021000003066638WE;2020/05/05 09:00;1;496;0;
ES0021000003066638WE;2020/05/05 10:00;1;469;0;
